Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
6,8,Y,Y,F,4,1,67.201,67.174,65.05,65.176,67.1875,65.113,0.4149
6,8,Y,Y,M,4,2,74.587,74.634,73.525,73.497,74.6105,73.511,0.2199
8,1,N,N,F,1,1,61.596,61.53,59.818,59.815,61.563,59.8165,0.3493
8,1,N,N,F,1,2,61.288,61.294,59.608,59.556,61.291,59.582,0.3418
8,1,N,N,F,2,1,75.197,75.26,73.442,73.449,75.2285,73.4455,0.3566
8,1,N,N,F,2,2,68.153,68.125,66.633,66.681,68.139,66.657,0.3705
8,1,N,N,F,3,1,70.091,70.052,68.305,68.261,70.0715,68.283,0.3577
8,1,N,N,F,3,2,66.347,66.325,64.56,64.6,66.336,64.58,0.3512
8,1,N,N,F,4,1,62.829,62.845,61.323,61.364,62.837,61.3435,0.2987
8,1,N,N,F,4,2,57.645,57.62,56.175,56.173,57.6325,56.174,0.2917
8,2,N,N,M,1,1,76.798,76.746,75.678,75.679,76.772,75.6785,0.2187
8,2,N,N,M,1,2,72.572,72.546,71.504,71.517,72.559,71.5105,0.2097
8,2,N,N,M,2,1,73.448,73.47,72.379,72.368,73.459,72.3735,0.2171
8,2,N,N,M,2,2,74.298,74.38,73.305,73.363,74.339,73.334,0.25125
8,2,N,N,M,3,1,68.867,68.812,67.661,67.676,68.8395,67.6685,0.2342
8,2,N,N,M,3,2,65.697,65.668,64.637,64.639,65.6825,64.638,0.2089
8,2,N,N,M,4,1,67.16,67.156,66.021,65.957,67.158,65.989,0.2338
8,2,N,N,M,4,2,65.873,65.9,64.733,64.725,65.8865,64.729,0.2315
8,3,Y,N,F,1,1,90.052,89.978,87.912,87.947,90.015,87.9295,0.4171
8,3,Y,N,F,1,2,63.678,63.739,61.366,61.409,63.7085,61.3875,0.4642
8,3,Y,N,F,2,1,73.061,73.019,70.961,70.92,73.04,70.9405,0.4199
8,3,Y,N,F,2,2,61.096,61.047,59.137,59.134,61.0715,59.1355,0.3872
8,3,Y,N,F,3,1,77.968,78.014,75.937,75.914,77.991,75.9255,0.4131
8,3,Y,N,F,3,2,54.305,54.258,52.251,52.267,54.2815,52.259,0.4045
8,3,Y,N,F,4,1,75.123,75.111,73.36,73.368,75.117,73.364,0.43825
8,3,Y,N,F,4,2,68.5,68.518,66.131,66.15,68.509,66.1405,0.39475
8,4,Y,N,M,1,1,67.67,67.602,66.52,66.527,67.636,66.5235,0.2225
8,4,Y,N,M,1,2,80.038,80.036,78.855,78.864,80.037,78.8595,0.2355
8,4,Y,N,M,2,1,69.376,69.439,68.248,68.212,69.4075,68.23,0.2355
8,4,Y,N,M,2,2,74.514,74.524,73.32,73.328,74.519,73.324,0.239
8,4,Y,N,M,3,1,65.445,65.439,64.48,64.511,65.442,64.4955,0.236625
8,4,Y,N,M,3,2,72.783,72.72,71.625,71.683,72.7515,71.654,0.2195
8,4,Y,N,M,4,1,72.636,72.631,71.683,71.716,72.6335,71.6995,0.2335
8,4,Y,N,M,4,2,74.918,74.928,73.767,73.856,74.923,73.8115,0.2223
8,5,N,Y,F,1,1,77.276,77.274,75.832,75.81,77.275,75.821,0.2908
8,5,N,Y,M,1,2,64.397,64.462,63.545,63.488,64.4295,63.5165,0.1826
8,5,N,Y,F,2,1,56.663,56.635,55.237,55.234,56.649,55.2355,0.2827
8,5,N,Y,M,2,2,55.444,55.413,54.586,54.567,55.4285,54.5765,0.1704
8,5,N,Y,F,3,1,63.538,63.593,62.032,62.041,63.5655,62.0365,0.3058
8,5,N,Y,M,3,2,45.87,45.845,44.954,44.938,45.8575,44.946,0.1823
8,5,N,Y,F,4,1,79.654,79.678,78.288,78.238,79.666,78.263,0.2806
8,5,N,Y,M,4,2,66.865,66.863,65.98,66.013,66.864,65.9965,0.1735
8,6,N,Y,F,1,1,69.148,69.167,67.78,67.764,69.1575,67.772,0.2771
8,6,N,Y,M,1,2,50.472,50.488,49.53,49.554,50.48,49.542,0.1876
8,6,N,Y,F,2,1,57.909,57.884,56.474,56.471,57.8965,56.4725,0.2848
8,6,N,Y,M,2,2,56.092,56.133,55.101,55.25,56.1125,55.1755,0.1874
